연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2022,베를린 국제영화제,일반(종합),소설가의 영화,홍상수,경쟁,심사위원대상,
2022,베를린 국제영화제,일반(종합),같은 속옷을 입는 두 여자,김세인,파노라마 부문,,
2022,베를린 국제영화제,일반(종합),낮에는 덥고 밤에는 춥고,박송열,포럼 필름,,
2022,베를린 국제영화제,일반(종합),존재의 집,,베를리날레 쇼츠,,
2022,베를린 국제영화제,일반(종합),비밀의 언덕,,제너레이션 경쟁,,
2021,베를린 국제영화제,일반(종합),파이터,윤재호,제너레이션,,
2021,베를린 국제영화제,일반(종합),인트로덕션,홍상수,경쟁 부문,"은곰상, 최우수 각본상",홍상수
2021,베를린 국제영화제,일반(종합),"""레드필터가 철회됩니다.""",김민정,Forum Expanded - International premiere,,
2021,베를린 국제영화제,일반(종합),종착역,"권민표,서한솔",제너레이션,,
2020,인터필름 - 베를린 국제단편영화제,단편,유령들,박지연,Eject XXIII - The Long Night of Weird Shorts,,
2020,베를린 국제영화제,일반(종합),다공성 계곡 2: 트릭스터 플롯,김아영,포럼 익스팬디드,,
2020,베를린 국제영화제,일반(종합),도망친 여자,홍상수,경쟁,,
2020,베를린 국제영화제,일반(종합),사냥의 시간,윤성현,베를리날레 스페셜 갈라,,
2019,인터필름 - 베를린 국제단편영화제,단편,한숨,김보성,Environmental Film Competition,,
2019,베를린 국제영화제,일반(종합),짝코,임권택,베를리날레 클래식,,
2019,베를린 국제영화제,일반(종합),후쿠오카,장률,포럼,,
2019,베를린 국제영화제,일반(종합),벌새,김보라,제너레이션 14플러스,대상(제네레이션 14플러스),김보라
2019,베를린 국제영화제,일반(종합),꼭두 이야기,김태용,제너레이션 K플러스,,
2019,베를린 국제영화제,일반(종합),우상,이수진,파노라마,,
2018,인터필름 - 베를린 국제단편영화제,단편,플라스틱 걸스,닐스 클라우스,Documentary Competition,,
2018,인터필름 - 베를린 국제단편영화제,단편,피아노,조영준,Body Talk - Dance Shorts in 3D,,
2018,베를린 국제영화제,일반(종합),풀잎들,홍상수,포럼,,
2018,베를린 국제영화제,일반(종합),다시 살아나거라 아가야,송상희,포럼 익스팬디드,,
2018,베를린 국제영화제,일반(종합),살아남은 아이,신동석,포럼,,
2018,베를린 국제영화제,일반(종합),재회,박기용,포럼,,
2018,베를린 국제영화제,일반(종합),"인간, 공간, 시간 그리고 인간",김기덕,파노라마 스페셜,,
2017,인터필름 - 베를린 국제단편영화제,단편,외계인이다,김현우,Extended Vision,,
2017,인터필름 - 베를린 국제단편영화제,단편,은아,정승현,German Competition,,
2017,인터필름 - 베를린 국제단편영화제,단편,강박,김유리,International Competition,,
2017,베를린 아시안 영화제,일반(종합),불온한 당신,이영,Queer Bodies,,
2017,베를린 아시안 영화제,일반(종합),마담 B,윤재호,Mobile Bodies,,
2017,베를린 아시안 영화제,일반(종합),은아,정승현,Mobile Bodies,,
2017,베를린 국제영화제,일반(종합),다시 태어나도 우리,"문창용,전진",제너레이션 K플러스,대상(제네레이션 K플러스) 특별언급-국제심사위원,
2017,베를린 국제영화제,일반(종합),밤의 해변에서 혼자,홍상수,Competition,은곰상:여자연기자상,김민희
2017,베를린 국제영화제,일반(종합),최후의 증인,이두용,Forum,,
2017,베를린 국제영화제,일반(종합),12,차재민,Forum Expanded,,
2017,베를린 국제영화제,일반(종합),"춘천, 춘천",장우진,Forum,,
2017,베를린 국제영화제,일반(종합),오발탄,유현목,Forum,,
2016,베를린 국제영화제,일반(종합),죽여주는 여자,이재용,파노라마,,
2016,베를린 국제영화제,일반(종합),우리들,윤가은,제너레이션,,
2016,베를린 국제영화제,일반(종합),위켄즈,이동하,파노라마,관객상,
2015,베를린 국제영화제,일반(종합),잡식가족의 딜레마,황윤,Culinary Cinema,,
2015,베를린 국제영화제,일반(종합),공백의 얼굴들,리오 샴리즈,Forum Expanded,,
2015,베를린 국제영화제,일반(종합),철원기행,김대환,Forum,,
2015,베를린 국제영화제,일반(종합),화장,임권택,Berlin Critics’ Week,,
2015,베를린 국제영화제,일반(종합),독학자,차재민,Forum Expanded,,
2015,베를린 국제영화제,일반(종합),호산나,나영길,Berlinale Shorts,,
2015,베를린 국제영화제,일반(종합),히스테릭스,차재민,Forum Expanded,,
2015,베를린 국제영화제,일반(종합),국제시장,윤제균,Panorama,,
2014,인터필름 - 베를린 국제단편영화제,단편,디스크조각모음,황보새별,International Competition(Animated 2: Mind Trips),,
2014,인터필름 - 베를린 국제단편영화제,단편,의자 위의 남자,정다희,International Competition(Animated 2: Mind Trips),,
2014,인터필름 - 베를린 국제단편영화제,단편,바람이 지나는 길,김주임,International Competition(Animated 1: On the Run),,
2014,인터필름 - 베를린 국제단편영화제,단편,소년병,정지연,Delicacies(Queer Fever),,
2014,인터필름 - 베를린 국제단편영화제,단편,흉내,김보영,Eject Competition(eject XVII - the long night of odd films),,
2014,베를린 국제영화제,일반(종합),10분,"박기용,이용승",포럼,,
2014,베를린 국제영화제,일반(종합),설국열차,봉준호,포럼: 특별상영,,
2014,베를린 국제영화제,일반(종합),야간비행,이송희일,파노라마,,
2014,베를린 국제영화제,일반(종합),콩나물,윤가은,제너레이션,,
2014,베를린 국제영화제,일반(종합),파이널 레시피,김진아,컬리너리 시네마,,
2014,베를린 국제영화제,일반(종합),철의 꿈,박경근,포럼,,
2014,베를린 국제영화제,일반(종합),논픽션 다이어리,정윤석,포럼,,
2013,베를린 국제영화제,일반(종합),뒷담화: 감독이 미쳤어요,이재용,파노라마,,
2013,베를린 국제영화제,일반(종합),누구의 딸도 아닌 해원,홍상수,경쟁부문,,
2013,베를린 국제영화제,일반(종합),가시꽃,이돈구,파노라마,,
2013,베를린 국제영화제,일반(종합),주리,김동호,파노라마,,
2013,베를린 국제영화제,일반(종합),명왕성,신수원,제너레이션,,
2013,베를린 국제영화제,일반(종합),청춘의 십자로,"김태용,안종화",포럼 2013: 특별상영,,
2013,베를린 국제영화제,일반(종합),청이,김정인,제너레이션,제너레이션 K플러스 특별상,김정인
2013,베를린 국제영화제,일반(종합),연애놀이,정유미,단편 경쟁부문,,
2013,베를린 국제영화제,일반(종합),백야,이송희일,파노라마,,
2012,베를린 국제영화제,일반(종합),푸른소금,이현승,Culinary Cinema,,
2012,베를린 국제영화제,일반(종합),가시,김중현,Forum,,
2012,베를린 국제영화제,일반(종합),마취,김석영,Berlinale Shorts,,
2012,베를린 국제영화제,일반(종합),불륜의 시대,전규환,Panorama,,
2012,베를린 국제영화제,일반(종합),마이 웨이,강제규,Panorama Special,,
2012,베를린 국제영화제,일반(종합),완득이,이한,Generation 14plus,,
2012,베를린 국제영화제,일반(종합),애드벌룬,이우정,Berlinale Shorts,,
2011,베를린 국제영화제,일반(종합),댄스타운,전규환,Panorama,,
2011,베를린 국제영화제,일반(종합),자가당착: 시대정신과 현실참여,김선,Forum,,
2011,베를린 국제영화제,일반(종합),부서진 밤,양효주,Berlinale Shorts,,
2011,베를린 국제영화제,일반(종합),된장,이서군,Culinary Cinema,,
2011,베를린 국제영화제,일반(종합),부당거래,류승완,Panorama,,
2011,베를린 국제영화제,일반(종합),파란만장,"박찬욱,박찬경",Berilnale Shorts,,
2011,베를린 국제영화제,일반(종합),"사랑한다, 사랑하지 않는다",이윤기,Competition,,
2011,베를린 국제영화제,일반(종합),만추,김태용,Forum,,
2011,베를린 국제영화제,일반(종합),창피해,김수현,Panorama,,
