연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2021,아시안 아메리칸 국제영화제,일반(종합),신의 딸은 춤을 춘다,변성빈,,,
2021,칸 국제영화제,일반(종합),당신얼굴 앞에서,홍상수,칸 프리미어 부문 초청,,
2021,칸 국제영화제,일반(종합),매미,윤대원,시네파운데이션,,
2021,칸 국제영화제,일반(종합),비상선언,한재림,비경쟁 부문 초청,,
2021,칸 국제영화제,일반(종합),밥 때,이성식,비경쟁 단편,,
2020,아시안 아메리칸 국제영화제,일반(종합),27년째 수요일,"김혜승,장정윤",Crush or Be Crushed: Love Stories,,
2020,아시안 아메리칸 국제영화제,일반(종합),공중의 새,이다현,로스트 앤 파운드 단편섹션,,
2020,칸 국제영화제,일반(종합),반도,연상호,공식 초청 - THE FAITHFUL,,
2020,칸 국제영화제,일반(종합),행복의 나라로,임상수,공식 초청 - THE FAITHFUL,,
2019,아시안 아메리칸 국제영화제,일반(종합),고추,제이 박,Beyond Queer LGBTQ+ Shorts,,
2019,칸 국제영화제,일반(종합),악인전,이원태,미드나잇 스크리닝,,
2019,칸 국제영화제,일반(종합),대리,박관익,비경쟁 단편,,
2019,칸 국제영화제,일반(종합),령희,연제광,시네파운데이션,,
2019,칸 국제영화제,일반(종합),기생충,봉준호,경쟁부문,황금종려상,봉준호
2019,칸 국제영화제 - 감독주간,일반(종합),움직임의 사전,정다희,중단편 부문,,
2019,칸 국제영화제,일반(종합),그 후,허상욱,비경쟁 부문,,
2019,칸 국제영화제,일반(종합),무기들의 시간,허건,비경쟁 단편,,
2018,아시안 아메리칸 국제영화제,일반(종합),럭키 데이,안효진,Short Films,,
2018,아시안 아메리칸 국제영화제,일반(종합),뮤직 앤 리얼리티,"빅 포니,스티브 리",Narrative Features,,
2018,아시안 아메리칸 국제영화제,일반(종합),불청객,이승엽,Short Films,,
2018,아시안 아메리칸 국제영화제,일반(종합),비정택시,김준하,Short Films,,
2018,아시안 아메리칸 국제영화제,일반(종합),상아에게 보내는 편지,미나 피츠패트릭,Short Films,,
2018,칸 국제영화제,일반(종합),공터,김성규,Short Film Corner,,
2018,칸 국제영화제,일반(종합),우체통,구상범,비경쟁단편영화부문,,
2018,칸 국제영화제,일반(종합),시계,조현준,비경쟁 단편,,
2018,칸 국제영화제,일반(종합),버닝,이창동,경쟁부문,벌칸상,신점희
2018,칸 국제영화제,일반(종합),에이다시,이수민,비경쟁 단편,,
2018,칸 국제영화제,일반(종합),공작,윤종빈,미드나잇 스크리닝,,
2018,칸 국제영화제,일반(종합),나들이,장성원,비경쟁 단편,,
2018,칸 국제영화제 - 비평가주간,일반(종합),모범시민,김철휘,단편경쟁,,
2017,칸 국제영화제,일반(종합),불한당: 나쁜 놈들의 세상,변성현,미드나잇 스크리닝,,
2017,칸 국제영화제,일반(종합),하늘피리,홍선영,쇼트 필름 코너,,
2017,칸 국제영화제,일반(종합),백천,신동영,Short Film Corner,,
2017,칸 국제영화제,일반(종합),그 후,홍상수,경쟁부문,,
2017,칸 국제영화제,일반(종합),뫼비우스,번가남,쇼트 필름 코너,,
2017,칸 국제영화제,일반(종합),첫만남,박재현,쇼트 필름 코너,,
2017,칸 국제영화제,일반(종합),클레어의 카메라,홍상수,특별상영,,
2017,칸 국제영화제,일반(종합),악녀,정병길,미드나잇 스크리닝,,
2017,칸 국제영화제,일반(종합),포구,문재웅,쇼트 필름 코너,,
2016,칸 국제영화제,일반(종합),아가씨,박찬욱,경쟁부문,벌칸상,류성희
2016,칸 국제영화제,일반(종합),부산행,연상호,미드나잇 스크리닝,,
2016,칸 국제영화제,일반(종합),히치하이커,윤재호,The Directors' Fortnight | Quinzaine des R?alisateurs 2016,,
2016,칸 국제영화제,일반(종합),1킬로그램,박영주,파운데이션,,
2016,칸 국제영화제,일반(종합),곡성,나홍진,비경쟁부문,,
2015,아시안 아메리칸 국제영화제,일반(종합),도희야,정주리,Narrative,,
2015,칸 국제영화제,일반(종합),오피스,홍원찬,미드나잇 스크리닝,,
2015,칸 국제영화제,일반(종합),마돈나,신수원,주목할 만한 시선,,
2015,칸 국제영화제,일반(종합),무뢰한,오승욱,주목할 만한 시선,,
2015,칸 국제영화제,일반(종합),무꾸리,김명석,비경쟁 단편 영화 부문,,
2015,칸 국제영화제,일반(종합),블루스 이야기,윤철수,쇼트 필름 코너,,
2015,칸 국제영화제 - 비평가주간,일반(종합),차이나타운,한준희,,,
2014,칸 국제영화제,일반(종합),야누스,김성환,Court Metrage - Short Film Corner,,
2014,칸 국제영화제,일반(종합),끝까지 간다,김성훈,감독주간,,
2014,칸 국제영화제 - 감독주간,일반(종합),의자 위의 남자,정다희,단편부문,,
2014,칸 국제영화제,일반(종합),숨,권현주,시네파운데이션,,
2014,칸 국제영화제,일반(종합),표적,창,미드나잇 스크리닝,,
2014,칸 국제영화제 - 감독주간,일반(종합),끝까지 간다,김성훈,장편부문,,
2014,칸 국제영화제,일반(종합),숨,권현주,Court Metrage - Short Film Corner,,
2014,칸 국제영화제,일반(종합),도희야,정주리,주목할 만한 시선,,
2013,아시안 아메리칸 국제영화제,일반(종합),후의 게임,김성영,ENDURING ENCOUNTERS Shorts Program,,
2013,칸 국제영화제,일반(종합),세이프,문병곤,단편경쟁,,
2013,칸 국제영화제,일반(종합),선,김수진,씨네파운데이션,,
2013,칸 국제영화제 - 비평가주간,일반(종합),울게 하소서,한은영,비평가 주간,,
2012,칸 국제영화제,일반(종합),순환선,신수원,비평가주간,,
2012,칸 국제영화제,일반(종합),돼지의 왕,연상호,감독주간,,
2012,칸 국제영화제,일반(종합),밥덩이,양익제,short film corner,,
2012,칸 국제영화제,일반(종합),돈의 맛,임상수,경쟁부문,,
2012,칸 국제영화제,일반(종합),다른나라에서,홍상수,경쟁부문,,
2011,칸 국제영화제,일반(종합),집 앞에서,이태호,비평가 주간,,
2011,칸 국제영화제,일반(종합),고스트,이정진,단편 경쟁,,
2011,칸 국제영화제,일반(종합),나는 날아가고… 너는 마법에 걸려있으니까,김영남,시네파운데이션,,
2011,칸 국제영화제,일반(종합),황해,나홍진,주목할 만한 시선,,
2011,칸 국제영화제,일반(종합),아리랑,김기덕,주목할 만한 시선,,
2011,칸 국제영화제,일반(종합),불멸의 사나이,문병곤,비평가 주간,,
2011,칸 국제영화제,일반(종합),북촌방향,홍상수,주목할 만한 시선,,
2011,칸 국제영화제,일반(종합),야간 비행,손태겸,씨네파운데이션,,
2010,아시안 아메리칸 국제영화제,일반(종합),거북이 달린다,이연우,Feature Films,,
2010,칸 국제영화제,일반(종합),시,이창동,Competition,각본상,이창동
