날짜,누적확진자
20200414,10564
20200415,10591
20200416,10613
20200417,10635
20200418,10653
20200419,10661
20200420,10674
20200421,10683
20200422,10694
20200423,10702
20200424,10708
20200425,10718
20200426,10728
20200427,10738
20200428,10752
20200429,10761
20200430,10765
20200501,10774
20200502,10780
20200503,10793
20200504,10801
20200505,10804
20200506,10806
20200507,10810
20200508,10822
20200509,10840
20200510,10874
20200511,10909
20200512,10936
20200513,10962
20200515,11018
20200516,11037
20200517,11050
20200518,11065
20200519,11078
20200520,11110
20200521,11122
20200522,11142
20200523,11165
20200524,11190
20200525,11206
20200526,11225
20200527,11265
20200528,11344
20200529,11402
20200530,11441
20200531,11468
20200601,11503
20200602,11541
20200603,11590
20200604,11629
20200605,11668
20200606,11719
20200607,11776
20200608,11813
20200609,11851
20200610,11901
20200611,11946
20200612,12002
20200613,12050
20200614,12084
20200615,12121
20200616,12155
20200617,12198
20200618,12257
20200619,12306
20200620,12373
20200621,12421
20200622,12438
20200623,12484
20200624,12535
20200625,12563
20200626,12602
20200627,12653
20200628,12715
20200629,12757
20200630,12799
20200701,12850
20200702,12904
20200703,12965
20200704,13028
20200705,13089
20200706,13137
20200707,13181
20200708,13243
20200709,13293
20200710,13338
20200711,13373
20200712,13417
20200713,13479
20200714,13512
20200715,13551
20200716,13612
20200717,13672
20200718,13711
20200719,13745
20200720,13771
20200721,13816
20200722,13879
20200723,13938
20200724,13979
20200725,14092
20200726,14150
20200727,14175
20200728,14203
20200729,14251
20200730,14269
20200731,14305
20200801,14336
20200802,14366
20200803,14389
20200804,14423
20200805,14456
20200806,14499
20200807,14519
20200808,14562
20200809,14598
20200810,14626
20200811,14660
20200812,14714
20200813,14770
20200814,14873
20200815,15039
20200816,15318
20200817,15515
20200818,15761
20200819,16058
20200820,16346
20200821,16670
20200822,17002
20200823,17398
20200824,17664
20200825,17944
20200826,18264
20200827,18705
20200828,19076
20200829,19399
20200830,19698
20200831,19946
20200901,20181
20200902,20448
20200903,20643
20200904,20841
20200905,21009
20200906,21176
20200907,21295
20200908,21431
20200909,21587
20200910,21742
20200911,21918
20200912,22054
20200913,22175
20200914,22284
20200915,22390
20200916,22503
20200917,22656
20200918,22782
20200919,22892
20200920,22974
20200921,23044
20200922,23105
20200923,23215
20200924,23340
20200925,23454
20200926,23515
20200927,23610
20200928,23660
20200929,23698
20200930,23811
20201001,23888
20201002,23951
20201003,24026
20201004,24090
20201005,24163
20201006,24238
20201007,24352
20201008,24421
20201009,24475
20201010,24547
20201011,24605
20201012,24703
20201013,24794
20201014,24878
20201015,24988
20201016,25035
20201017,25108
20201018,25199
20201019,25275
20201020,25333
20201021,25422
20201022,25543
20201023,25698
20201024,25775
20201025,25836
20201026,25955
20201027,26043
20201028,26146
20201029,26271
20201030,26384
20201031,26511
20201101,26635
20201102,26732
20201103,26807
20201104,26924
20201105,27049
20201106,27194
20201107,27283
20201108,27426
20201109,27552
20201110,27652
20201111,27797
20201112,27940
20201113,28131
20201114,28336
20201115,28544
20201116,28766
20201117,28996
20201118,29281
20201119,29606
20201120,29954
20201121,30340
20201122,30670
20201123,30941
20201124,31290
20201125,31672
20201126,32253
20201127,32808
20201128,33311
20201129,33761
20201130,34199
20201201,34650
20201202,35161
20201203,35701
20201204,36329
20201205,36906
20201206,37537
20201207,38152
20201208,38739
20201209,39409
20201210,40089
20201211,40778
20201212,41728
20201213,42758
20201214,43476
20201215,44356
20201216,45434
20201217,46448
20201218,47512
20201219,48557
20201220,49653
20201221,50577
20201222,51443
20201223,52533
20201224,53518
20201225,54758
20201226,55889
20201227,56859
20201228,57665
20201229,58709
20201230,59759
20201231,60726
20210101,61753
20210102,62573
20210103,63230
20210104,64250
20210105,64964
20210106,65802
20210107,66671
20210108,67345
20210109,67986
20210110,68643
20210111,69094
20210112,69631
20210113,70192
20210114,70716
20210115,71228
20210116,71808
20210117,72328
20210118,72717
20210119,73103
