영화코드,영화명(국문),상영시간,장르,감독,배우1,배우2,배우3,참여 영화사1,참여 영화사2
20050333,왕의 남자,119.0,드라마,이준익,감우성,이준기,유해진,(주)씨네월드,(주)이글픽쳐스
20050338,"나니아 연대기-사자,마녀 그리고 옷장",139.0,가족,앤드류 아담슨,조지 헨리,스캔더 킨즈,없음,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아
20050324,킹콩,186.0,드라마,피터 잭슨,잭 블랙,애드리언 브로디,나오미 왓츠,유니버셜 픽쳐스,UIP코리아
20050326,태풍,125.0,드라마,곽경택,김혜정,김원진,이정재,CJ ENM,CJ ENM
20050330,작업의 정석,100.0,코미디,오기환,손예진,송일국,김애경,영화사청어람(주),(주)쇼박스
20050342,청연,133.0,드라마,윤종찬,장진영,김주혁,김응수,코리아픽쳐스(주),코리아픽쳐스(주)
20050310,해리 포터와 불의 잔,156.0,액션,마이크 뉴웰,다니엘 래드클리프,루퍼트 그린트,엠마 왓슨,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20050305,나의 결혼원정기,123.0,드라마,황병국,정재영,수애,유준상,튜브픽쳐스(주),롯데쇼핑㈜롯데엔터테인먼트
20050001,2005 [통합]패키지영화,,없음,없음,없음,없음,없음,없음,없음
20050332,파랑주의보,95.0,드라마,전윤수,송혜교,차태현,김신영,(주)아이필름홀딩스,아이러브시네마
20050341,빅 화이트,104.0,코미디,마크 미로드,로빈 윌리엄스,홀리 헌터,우디 해럴슨,CJ ENM,(주)유레카픽쳐스 
20050321,브로큰 플라워,105.0,코미디,짐 자무시,빌 머레이,제프리 라이트,제시카 랭,스폰지,스폰지
20050292,광식이 동생 광태,104.0,코미디,김현석,김주혁,봉태규,이요원,(주)엠케이픽처스 ,(주)엠케이픽처스 
20050331,"우리, 사랑해도 되나요?",102.0,멜로/로맨스,토마스 베주차,클레어 데인즈,레이첼 맥아담스,없음,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션
20050346,싸움의 기술,95.0,코미디,신한솔,백윤식,재희,김응수,코리아 엔터테인먼트,CJ ENM
20050318,6월의 일기,106.0,드라마,임경수,신은경,이상기,김윤진,(주)필름앤픽쳐스 ,(주)쇼박스
20050322,프라임 러브,105.0,코미디,벤 영거,메릴 스트립,우마 서먼,브라이언 그린버그,포커스피쳐스,(주)튜브엔터테인먼트
20050353,퍼햅스 러브,106.0,뮤지컬,진가상,금성무,지진희,주신,쇼이스트(주),쇼이스트(주)
20050306,애인,98.0,멜로/로맨스,김태은,성현아,조동혁,박준영,기획시대(주),(주)쇼박스
20050319,저스트 라이크 헤븐,94.0,코미디,마크 S. 워터스,마크 러팔로,리즈 위더스푼,없음,드림웍스 SKG,CJ ENM
20050323,연애,100.0,드라마,오석근,김지숙,전미선,장현성,(주)필름나루,(주)싸이더스
20050280,미스터 소크라테스,109.0,액션,최진원,김래원,강신일,이종혁,㈜커리지필름,(주)오죤필름
20050291,그림형제 : 마르바덴 숲의 전설,118.0,판타지,테리 길리엄,히스 레저,맷 데이먼,없음,디멘션 필름즈,메트로-골드윈-마이어
20050288,무영검,104.0,액션,김영준,신현준,이서진,윤소이,(주)태원엔터테인먼트,CJ ENM
20050320,둠,104.0,액션,안드레이 바르코비악,칼 어번,드웨인 존슨,없음,유니버셜 픽쳐스,UIP코리아
20050255,플라이트 플랜,98.0,드라마,로베르트 슈벤트케,피터 사스가드,없음,없음,터치스톤 픽쳐스,이메이진엔터테인먼트
20050261,야수와 미녀,101.0,코미디,이계벽,류승범,신민아,김강우,시오필름(주),(주)쇼박스
20050284,도쿄타워,125.0,드라마,미나모토 타카시,한다 켄토,테라지마 시노부,오카다 준이치,토쿄 브로드캐스팅 시스팀,도에이
20050082,이터널 선샤인,107.0,멜로/로맨스,미셸 공드리,짐 캐리,케이트 윈슬렛,커스틴 던스트,포커스피쳐스,(주)노바미디어
20050290,로드 오브 워,118.0,액션,앤드류 니콜,에단 호크,니콜라스 케이지,없음,미디어필름인터내셔날(주),미디어필름인터내셔날(주)
20050278,월래스와 그로밋 : 거대토끼의 저주,84.0,애니메이션,닉 파크,랄프 파인즈,헬레나 본햄 카터,없음,드림웍스 SKG,CJ ENM
20050253,유령신부(애니),77.0,애니메이션,팀 버튼,헬레나 본햄 카터,조니 뎁,없음,워너 브러더스 픽쳐스,워너브러더스 코리아(주)
20050289,엘리자베스타운,123.0,코미디,카메론 크로우,수잔 서랜든,커스틴 던스트,올랜도 블룸,파라마운트 픽쳐스,UIP코리아
20050283,"소년, 천국에 가다",114.0,드라마,윤태용,염정아,박해일,홍수연,(주)싸이더스,(주)크리스마스엔터테인먼트
20050286,블루스톰,109.0,액션,존 스톡웰,폴 워커,제시카 알바,없음,콜럼비아 픽쳐스 필름 프로덕션,이십세기폭스필름코퍼레이션
20050271,오로라 공주,106.0,범죄,방은진,엄정화,문성근,권오중,(주)이스트필름,(주)시네마서비스
20050276,"사랑해, 말순씨",92.0,드라마,박흥식,김동영,이재응,문소리,블루스톰(주),쇼이스트(주)
20050232,내 생애 가장 아름다운 일주일,129.0,멜로/로맨스,민규동,황정민,엄정화,김유정,(주)두사부필름,(주)수필름
